original_title,profit,revenue,budget
Avatar,2544505847.0,2781505847.0,237000000.0
Star Wars: The Force Awakens,1868178225.0,2068178225.0,200000000.0
Titanic,1645034188.0,1845034188.0,200000000.0
Jurassic World,1363528810.0,1513528810.0,150000000.0
Furious 7,1316249360.0,1506249360.0,190000000.0
The Avengers,1299557910.0,1519557910.0,220000000.0
Harry Potter and the Deathly Hallows: Part 2,1202817822.0,1327817822.0,125000000.0
Avengers: Age of Ultron,1125035767.0,1405035767.0,280000000.0
Frozen,1124219009.0,1274219009.0,150000000.0
The Net,1084279658.0,1106279658.0,22000000.0
