2025-11-28 11:38:28,928 INFO Writing to output/ip_locations_0001.csv
2025-11-28 11:40:24,267 INFO Processed 1000 (skipped 0, errors 0)
2025-11-28 11:40:24,308 INFO Processed 2000 (skipped 0, errors 0)
2025-11-28 11:40:24,358 INFO Processed 3000 (skipped 0, errors 0)
2025-11-28 11:40:24,415 INFO Processed 4000 (skipped 0, errors 0)
2025-11-28 11:40:24,453 INFO Processed 5000 (skipped 0, errors 0)
2025-11-28 11:40:24,491 INFO Processed 6000 (skipped 0, errors 0)
2025-11-28 11:40:24,536 INFO Processed 7000 (skipped 0, errors 0)
2025-11-28 11:40:24,579 INFO Processed 8000 (skipped 0, errors 0)
2025-11-28 11:40:24,617 INFO Processed 9000 (skipped 0, errors 0)
2025-11-28 11:40:24,657 INFO Processed 10000 (skipped 0, errors 0)
2025-11-28 11:40:24,697 INFO Processed 11000 (skipped 0, errors 0)
2025-11-28 11:40:24,737 INFO Processed 12000 (skipped 0, errors 0)
2025-11-28 11:40:24,785 INFO Processed 13000 (skipped 0, errors 0)
2025-11-28 11:40:24,895 INFO Processed 14000 (skipped 0, errors 0)
2025-11-28 11:40:24,981 INFO Processed 15000 (skipped 0, errors 0)
2025-11-28 11:40:25,048 INFO Processed 16000 (skipped 0, errors 0)
2025-11-28 11:40:25,127 INFO Processed 17000 (skipped 0, errors 0)
2025-11-28 11:40:25,227 INFO Processed 18000 (skipped 0, errors 0)
2025-11-28 11:40:25,300 INFO Processed 19000 (skipped 0, errors 0)
2025-11-28 11:40:25,370 INFO Processed 20000 (skipped 0, errors 0)
2025-11-28 11:40:25,425 INFO Processed 21000 (skipped 0, errors 0)
2025-11-28 11:40:25,481 INFO Processed 22000 (skipped 0, errors 0)
2025-11-28 11:40:25,550 INFO Processed 23000 (skipped 0, errors 0)
2025-11-28 11:40:25,608 INFO Processed 24000 (skipped 0, errors 0)
2025-11-28 11:40:25,656 INFO Processed 25000 (skipped 0, errors 0)
2025-11-28 11:40:25,726 INFO Processed 26000 (skipped 0, errors 0)
2025-11-28 11:40:25,792 INFO Processed 27000 (skipped 0, errors 0)
2025-11-28 11:40:25,869 INFO Processed 28000 (skipped 0, errors 0)
2025-11-28 11:40:25,940 INFO Processed 29000 (skipped 0, errors 0)
2025-11-28 11:40:26,000 INFO Processed 30000 (skipped 0, errors 0)
2025-11-28 11:40:26,049 INFO Processed 31000 (skipped 0, errors 0)
2025-11-28 11:40:26,094 INFO Processed 32000 (skipped 0, errors 0)
2025-11-28 11:40:26,144 INFO Processed 33000 (skipped 0, errors 0)
2025-11-28 11:40:26,193 INFO Processed 34000 (skipped 0, errors 0)
2025-11-28 11:40:26,242 INFO Processed 35000 (skipped 0, errors 0)
2025-11-28 11:40:26,290 INFO Processed 36000 (skipped 0, errors 0)
2025-11-28 11:40:26,346 INFO Processed 37000 (skipped 0, errors 0)
2025-11-28 11:40:26,402 INFO Processed 38000 (skipped 0, errors 0)
2025-11-28 11:40:26,488 INFO Processed 39000 (skipped 0, errors 0)
2025-11-28 11:40:26,560 INFO Processed 40000 (skipped 0, errors 0)
2025-11-28 11:40:26,608 INFO Processed 41000 (skipped 0, errors 0)
2025-11-28 11:40:26,650 INFO Processed 42000 (skipped 0, errors 0)
2025-11-28 11:40:26,692 INFO Processed 43000 (skipped 0, errors 0)
2025-11-28 11:40:26,732 INFO Processed 44000 (skipped 0, errors 0)
2025-11-28 11:40:26,770 INFO Processed 45000 (skipped 0, errors 0)
2025-11-28 11:40:26,807 INFO Processed 46000 (skipped 0, errors 0)
2025-11-28 11:40:26,850 INFO Processed 47000 (skipped 0, errors 0)
2025-11-28 11:40:26,888 INFO Processed 48000 (skipped 0, errors 0)
2025-11-28 11:40:26,924 INFO Processed 49000 (skipped 0, errors 0)
2025-11-28 11:40:26,961 INFO Processed 50000 (skipped 0, errors 0)
2025-11-28 11:40:27,042 INFO Processed 51000 (skipped 0, errors 0)
2025-11-28 11:40:27,077 INFO Processed 52000 (skipped 0, errors 0)
2025-11-28 11:40:27,111 INFO Processed 53000 (skipped 0, errors 0)
2025-11-28 11:40:27,145 INFO Processed 54000 (skipped 0, errors 0)
2025-11-28 11:40:27,179 INFO Processed 55000 (skipped 0, errors 0)
2025-11-28 11:40:27,213 INFO Processed 56000 (skipped 0, errors 0)
2025-11-28 11:40:27,251 INFO Processed 57000 (skipped 0, errors 0)
2025-11-28 11:40:27,289 INFO Processed 58000 (skipped 0, errors 0)
2025-11-28 11:40:27,322 INFO Processed 59000 (skipped 0, errors 0)
2025-11-28 11:40:27,357 INFO Processed 60000 (skipped 0, errors 0)
2025-11-28 11:40:27,392 INFO Processed 61000 (skipped 0, errors 0)
2025-11-28 11:40:27,431 INFO Processed 62000 (skipped 0, errors 0)
2025-11-28 11:40:27,466 INFO Processed 63000 (skipped 0, errors 0)
2025-11-28 11:40:27,500 INFO Processed 64000 (skipped 0, errors 0)
2025-11-28 11:40:27,533 INFO Processed 65000 (skipped 0, errors 0)
2025-11-28 11:40:27,573 INFO Processed 66000 (skipped 0, errors 0)
2025-11-28 11:40:27,614 INFO Processed 67000 (skipped 0, errors 0)
2025-11-28 11:40:27,648 INFO Processed 68000 (skipped 0, errors 0)
2025-11-28 11:40:27,685 INFO Processed 69000 (skipped 0, errors 0)
2025-11-28 11:40:27,721 INFO Processed 70000 (skipped 0, errors 0)
2025-11-28 11:40:27,755 INFO Processed 71000 (skipped 0, errors 0)
2025-11-28 11:40:27,791 INFO Processed 72000 (skipped 0, errors 0)
2025-11-28 11:40:27,827 INFO Processed 73000 (skipped 0, errors 0)
2025-11-28 11:40:27,867 INFO Processed 74000 (skipped 0, errors 0)
2025-11-28 11:40:27,910 INFO Processed 75000 (skipped 0, errors 0)
2025-11-28 11:40:27,946 INFO Processed 76000 (skipped 0, errors 0)
2025-11-28 11:40:27,986 INFO Processed 77000 (skipped 0, errors 0)
2025-11-28 11:40:28,022 INFO Processed 78000 (skipped 0, errors 0)
2025-11-28 11:40:28,059 INFO Processed 79000 (skipped 0, errors 0)
2025-11-28 11:40:28,102 INFO Processed 80000 (skipped 0, errors 0)
2025-11-28 11:40:28,150 INFO Processed 81000 (skipped 0, errors 0)
2025-11-28 11:40:28,188 INFO Processed 82000 (skipped 0, errors 0)
2025-11-28 11:40:28,227 INFO Processed 83000 (skipped 0, errors 0)
2025-11-28 11:40:28,264 INFO Processed 84000 (skipped 0, errors 0)
2025-11-28 11:40:28,306 INFO Processed 85000 (skipped 0, errors 0)
2025-11-28 11:40:28,341 INFO Processed 86000 (skipped 0, errors 0)
2025-11-28 11:40:28,445 INFO Processed 87000 (skipped 0, errors 0)
2025-11-28 11:40:28,486 INFO Processed 88000 (skipped 0, errors 0)
2025-11-28 11:40:28,524 INFO Processed 89000 (skipped 0, errors 0)
2025-11-28 11:40:28,562 INFO Processed 90000 (skipped 0, errors 0)
2025-11-28 11:40:28,605 INFO Processed 91000 (skipped 0, errors 0)
2025-11-28 11:40:28,642 INFO Processed 92000 (skipped 0, errors 0)
2025-11-28 11:40:28,677 INFO Processed 93000 (skipped 0, errors 0)
2025-11-28 11:40:28,717 INFO Processed 94000 (skipped 0, errors 0)
2025-11-28 11:40:28,759 INFO Processed 95000 (skipped 0, errors 0)
2025-11-28 11:40:28,815 INFO Processed 96000 (skipped 0, errors 0)
2025-11-28 11:40:28,859 INFO Processed 97000 (skipped 0, errors 0)
2025-11-28 11:40:28,898 INFO Processed 98000 (skipped 0, errors 0)
2025-11-28 11:40:28,933 INFO Processed 99000 (skipped 0, errors 0)
2025-11-28 11:40:28,970 INFO Processed 100000 (skipped 0, errors 0)
2025-11-28 11:40:29,048 INFO Processed 101000 (skipped 0, errors 0)
2025-11-28 11:40:29,083 INFO Processed 102000 (skipped 0, errors 0)
2025-11-28 11:40:29,122 INFO Processed 103000 (skipped 0, errors 0)
2025-11-28 11:40:29,161 INFO Processed 104000 (skipped 0, errors 0)
2025-11-28 11:40:29,239 INFO Processed 105000 (skipped 0, errors 0)
2025-11-28 11:40:29,275 INFO Processed 106000 (skipped 0, errors 0)
2025-11-28 11:40:29,317 INFO Processed 107000 (skipped 0, errors 0)
2025-11-28 11:40:29,352 INFO Processed 108000 (skipped 0, errors 0)
2025-11-28 11:40:29,385 INFO Processed 109000 (skipped 0, errors 0)
2025-11-28 11:40:29,422 INFO Processed 110000 (skipped 0, errors 0)
2025-11-28 11:40:29,455 INFO Processed 111000 (skipped 0, errors 0)
2025-11-28 11:40:29,488 INFO Processed 112000 (skipped 0, errors 0)
2025-11-28 11:40:29,526 INFO Processed 113000 (skipped 0, errors 0)
2025-11-28 11:40:29,558 INFO Processed 114000 (skipped 0, errors 0)
2025-11-28 11:40:29,591 INFO Processed 115000 (skipped 0, errors 0)
2025-11-28 11:40:29,624 INFO Processed 116000 (skipped 0, errors 0)
2025-11-28 11:40:29,658 INFO Processed 117000 (skipped 0, errors 0)
2025-11-28 11:40:29,693 INFO Processed 118000 (skipped 0, errors 0)
2025-11-28 11:40:29,727 INFO Processed 119000 (skipped 0, errors 0)
2025-11-28 11:40:29,761 INFO Processed 120000 (skipped 0, errors 0)
2025-11-28 11:40:29,797 INFO Processed 121000 (skipped 0, errors 0)
2025-11-28 11:40:29,830 INFO Processed 122000 (skipped 0, errors 0)
