field_name,total_docs,present_count,non_null_count,missing_count,missing_pct,types_summary
_id,41000001,41000000,41000000,1,0.0,ObjectId=41000000
api_version,41000001,41000000,41000000,1,0.0,string=41000000
cart_products,41000001,452873,452873,40547128,98.9,array=452873
cart_products.amount,41000001,113472,158872,40886529,99.72,int=158872
cart_products.currency,41000001,25805,34766,40974196,99.94,string=34766
cart_products.option,41000001,361241,814496,40638760,99.12,array=666349; string=148147
cart_products.option.option_id,41000001,352514,1114002,40647487,99.14,int=1114002
cart_products.option.option_label,41000001,352514,1114002,40647487,99.14,string=1114002
cart_products.option.value_id,41000001,352514,1114002,40647487,99.14,int=1114002
cart_products.option.value_label,41000001,352514,1114002,40647487,99.14,string=1114002
cart_products.price,41000001,25805,34766,40974196,99.94,string=34766
cart_products.product_id,41000001,361241,814496,40638760,99.12,int=814496
cat_id,41000001,11917128,255,29082873,70.93,NoneType=11916873; string=255
collect_id,41000001,11917128,11917128,29082873,70.93,string=11917128
collection,41000001,41000000,41000000,1,0.0,string=41000000
currency,41000001,185863,184568,40814138,99.55,NoneType=1295; string=184568
current_url,41000001,41000000,41000000,1,0.0,string=41000000
device_id,41000001,41000000,41000000,1,0.0,string=41000000
email_address,41000001,41000000,40999606,1,0.0,NoneType=394; string=40999606
ip,41000001,41000000,41000000,1,0.0,string=41000000
is_paypal,41000001,185863,1293,40814138,99.55,NoneType=184570; bool=1293
key_search,41000001,236200,74537,40763801,99.42,NoneType=161663; string=74537
local_time,41000001,41000000,40999760,1,0.0,NoneType=240; string=40999760
option,41000001,33932240,33932240,7067761,17.24,array=21966678; object=11965562
option.Kollektion,41000001,33341,33341,40966660,99.92,string=33341
option.alloy,41000001,11965562,11965562,29034439,70.82,string=11965562
option.category id,41000001,33341,33341,40966660,99.92,string=33341
option.diamond,41000001,11932221,11932221,29067780,70.9,string=11932221
option.finish,41000001,33341,33341,40966660,99.92,string=33341
option.kollektion_id,41000001,33341,33341,40966660,99.92,string=33341
option.option_id,41000001,21679520,32918710,19320481,47.12,string=32918710
option.option_label,41000001,21858299,33097489,19141702,46.69,string=33097489
option.pearlcolor,41000001,33341,33341,40966660,99.92,string=33341
option.price,41000001,33341,33341,40966660,99.92,string=33341
option.quality,41000001,2207407,2207407,38792594,94.62,string=2207407
option.quality_label,41000001,1910344,1910344,39089657,95.34,string=1910344
option.shapediamond,41000001,11932221,11932221,29067780,70.9,string=11932221
option.stone,41000001,33341,33341,40966660,99.92,string=33341
option.value_id,41000001,21858291,33020693,19141710,46.69,string=33020693
option.value_label,41000001,21858189,33097379,19141812,46.69,string=33097379
order_id,41000001,113472,113472,40886529,99.72,float=9879; int=15926; string=87667
price,41000001,185863,184568,40814138,99.55,NoneType=1295; string=184568
product_id,41000001,22000574,22000574,18999427,46.34,string=22000574
recommendation,41000001,10822963,10822895,30177038,73.6,NoneType=68; bool=10822895
recommendation_clicked_position,41000001,202912,177586,40797089,99.51,NoneType=25326; int=177586
recommendation_product_id,41000001,241064,215689,40758937,99.41,NoneType=25375; string=215689
recommendation_product_position,41000001,38152,38101,40961849,99.91,NoneType=51; int=19896; string=18205
referrer_url,41000001,41000000,41000000,1,0.0,string=41000000
resolution,41000001,41000000,40999760,1,0.0,NoneType=240; string=40999760
show_recommendation,41000001,41000000,33320301,1,0.0,NoneType=7679699; string=33320301
store_id,41000001,41000000,41000000,1,0.0,string=41000000
time_stamp,41000001,41000000,41000000,1,0.0,int=41000000
user_agent,41000001,41000000,41000000,1,0.0,string=41000000
user_id_db,41000001,41000000,41000000,1,0.0,string=41000000
utm_medium,41000001,10822963,10822895,30177038,73.6,NoneType=68; bool=10732465; string=90430
utm_source,41000001,10822963,10822895,30177038,73.6,NoneType=68; bool=10734992; string=87903
viewing_product_id,41000001,1969584,1969584,39030417,95.2,string=1969584
